cr;c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49;c50;c51;c52;c53;c54;c55;c56;c57;c58;c59;c60;c61;c62;c63;c64;c65;c66;c67;c68;c69;c70;c71;c72;c73;c74;c75;c76;c77;c78;c79;c80;c81;c82;c83;c84;c85;c86;c87;c88;c89;c90;c91;c92;c93;c94;c95;c96;c97;c98;c99;c100;c101;c102;c103;c104;c105;c106;c107;c108;c109;c110;c111;c112;c113;c114;c115;c116;c117;c118;c119;c120;c121;c122;c123;c124;c125;c126;c127;c128;c129;c130;c131;c132;c133;c134;c135;c136;c137;c138;c139;c140;c141;c142;c143;c144;c145;c146;c147;c148;c149;c150;c151;c152;c153;c154;c155;c156;c157;c158;c159;c160;c161;c162;c163;c164;c165;c166;c167;c168;c169;c170;c171;c172;c173;c174;c175;c176;c177;c178;c179;c180;c181;c182;c183;c184;c185;c186;c187;c188;c189;c190;c191;c192;c193;c194;c195;c196;c197;c198;c199;c200;c201;c202;c203;c204;c205;c206;c207;c208;c209;c210;c211;c212;c213;c214;c215;c216;c217;c218;c219;c220;c221;c222;c223;c224;c225;c226;c227;c228;c229;c230;c231;c232;c233;c234;c235;c236;c237;c238;c239;c240;c241;c242;c243;c244;c245;c246;c247;c248;c249;c250;c251;c252;c253;c254;c255;c256;c257;c258;c259;c260;c261;c262;c263;c264;c265;c266;c267;c268;c269;c270;c271;c272;c273;c274;c275;c276;c277;c278;c279;c280;c281;c282;c283;c284;c285;c286;c287;c288;c289;c290;c291;c292;c293;c294;c295;c296;c297;c298;c299
r0;25.832;26.959;25.639;4.68;21.608;26.124;26.655;20.866;12.814;2.539;27.145;20.445;7.608;1.996;3.146;8.288;4.838;2.861;10.805;4.073;26.157;28.238;10.133;3.841;19.78;15.125;6.438;23.609;1.216;18.621;27.598;19.191;1.527;7.789;11.707;9.166;5.77;22.434;16.152;10.821;28.46;11.286;13.434;18.548;17.084;2.324;11.035;9.867;14.245;25.801;1.361;8.286;25.934;22.123;20.303;3.546;15.738;2.427;24.952;23.284;22.795;20.002;2.251;28.003;19.336;25.272;8.126;1.528;13.246;12.918;26.926;16.402;8.424;13.567;8.865;7.884;18.672;5.981;17.024;26.48;19.392;25.279;7.199;12.632;24.061;11.39;11.636;14.501;6.107;26.972;19.5;26.169;12.522;16.711;4.269;3.801;4.637;25.616;15.186;8.792;16.484;20.854;2.17;10.927;25.592;2.369;28.895;15.169;17.228;9.686;20.199;22.867;13.47;24.815;27.494;3.205;16.158;1.509;22.152;14.447;19.151;24.306;26.912;21.153;12.224;10.778;5.831;5.523;27.012;5.609;13.545;17.611;22.436;23.029;21.778;18.364;25.776;14.824;7.213;20.654;15.067;13.087;2.98;5.968;26.492;27.641;26.569;8.277;18.942;20.384;25.957;10.121;13.757;27.482;3.658;5.177;4.546;18.525;4.42;12.117;15.921;28.54;16.797;5.733;2.611;24.474;12.225;27.484;23.958;28.902;26.579;18.855;23.221;21.688;2.494;21.192;11.556;19.987;19.514;8.003;10.241;20.634;26.724;6.305;5.33;29.633;12.438;3.536;17.905;22.177;9.47;19.783;24.345;13.372;28.801;4.157;21.323;2.351;5.329;9.495;26.635;13.749;1.384;18.948;10.269;24.587;27.14;16.61;22.107;3.393;14.9;14.828;28.082;3.27;3.073;8.335;14.666;29.076;21.871;29.692;3.909;14.625;9.08;23.21;23.817;27.029;16.202;7.124;29.092;26.781;8.534;18.647;23.329;5.467;25.429;17.138;12.057;4.436;9.713;22.167;7.347;9.142;16.406;17.493;24.169;11.28;20.623;4.59;24.409;26.69;22.307;12.6;24.119;22.499;26.732;3.309;22.419;4.81;24.905;7.868;18.917;5.675;23.652;22.069;26.064;26.696;8.391;16.161;28.757;16.775;4.927;28.157;28.134;18.864;16.158;5.679;4.05;1.793;10.016;10.128;14.457;1.456;27.665;29.96;21.986;22.232;10.539;26.965;15.679;19.732;9.348;17.771;8.187;2.948;14.395;9.616;1.678;16.622;9.067;11.736
r1;5.187;23.419;8.227;23.723;25.866;19.701;23.884;8.825;23.587;6.269;14.761;21.378;9.469;4.568;21.515;12.22;14.773;17.612;11.729;14.676;21.483;26.279;13.459;7.694;29.943;21.732;7.941;3.431;27.814;12.904;18.76;25.396;13.336;8.388;10.626;13.21;1.632;15.189;17.031;12.183;11.754;23.486;8.683;26.616;4.616;10.152;6.362;4.046;28.564;9.779;28.651;5.472;7.824;21.627;24.291;3.496;8.981;24.187;23.949;12.127;27.574;28.455;5.004;5.932;5.299;7.755;26.6;3.787;26.912;18.999;29.476;18.574;8.537;15.313;16.515;21.179;20.33;8.225;15.561;11.477;6.263;12.216;2.681;10.689;10.63;14.056;14.206;4.477;3.547;14.862;25.921;8.895;7.106;5.933;10.487;26.777;24.053;24.335;13.833;28.709;10.811;26.517;3.629;28.014;9.166;13.864;6.864;14.022;20.427;19.059;16.882;27.095;24.239;27.953;5.883;15.084;26.463;9.427;13.776;25.323;5.933;5.595;28.809;13.987;19.737;1.197;4.954;22.516;15.552;29.408;24.174;11.487;1.76;29.224;22.358;24.928;21.623;10.019;6.898;23.664;27.37;22.267;7.507;25.029;22.418;3.531;11.978;3.631;19.055;28.272;29.009;21.93;5.773;29.979;13.675;6.495;5.843;23.31;18.353;10.253;16.339;7.065;11.201;10.399;21.238;21.671;17.002;6.725;27.628;10.859;23.939;11.014;22.28;16.111;15.583;12.241;3.929;6.949;3.194;13.981;8.304;26.773;13.859;2.154;24.515;9.303;17.336;16.531;3.359;17.02;24.162;28.126;1.6;1.993;20.815;13.525;10.468;18.216;24.138;19.024;10.926;7.739;4.814;13.943;14.575;25.604;15.546;1.537;20.8;13.565;13.021;26.206;21.06;15.795;14.485;24.475;29.409;7.195;2.417;14.698;24.197;16.404;13.942;13.012;16.386;3.623;14.922;17.701;2.911;27.089;22.388;22.78;28.438;10.978;17.741;20.788;8.067;2.379;13.164;25.694;20.472;27.328;22.781;2.664;5.263;10.214;3.684;25.219;4.468;19.027;11.414;22.233;18.158;19.559;17.171;2.9;11.712;17.555;1.653;29.771;19.598;19.065;18.784;21.849;6.352;25.381;5.286;26.537;29.864;20.723;8.031;15.393;11.553;24.946;24.977;18.572;16.639;8.59;8.73;9.349;21.089;21.444;11.206;15.3;12.097;25.837;1.216;25.47;15.72;9.806;1.686;8.976;5.154;13.489;25.889;6.927;3.344;4.919;26.661;2.182
r2;16.832;22.084;18.288;12.006;18.559;25.891;1.729;29.522;3.687;2.542;19.885;26.05;19.441;4.923;27.828;12.071;26.647;20.817;14.492;1.805;11.337;4.576;4.018;19.873;1.181;21.254;6.494;28.825;22.883;20.481;6.45;8.389;7.167;4.646;20.199;9.737;11.497;8.649;22.058;21.778;4.021;3.182;4.009;1.513;29.469;19.368;16.41;17.811;23.973;7.32;7.965;9.368;12.852;24.184;4.725;1.718;22.338;5.095;24.677;12.19;29.371;28.296;15.104;11.059;7.33;13.732;29.924;19.406;23.664;5.51;13.013;9.7;25.557;7.626;14.697;4.977;29.826;4.242;2.79;10.821;22.17;25.165;8.746;21.565;12.892;1.579;28.836;23.748;5.935;21.856;1.306;3.659;27.46;11.515;12.744;27.694;26.021;23.602;10.932;22.124;6.985;3.05;25.865;4.82;16.456;1.628;12.387;17.958;13.018;14.662;15.731;12.465;11.061;22.239;29.273;26.071;14.35;20.383;8.479;26.068;5.577;29.643;23.648;24.645;16.489;4.275;13.329;18.019;14.469;24.772;1.886;13.561;2.087;21.815;5.288;26.689;24.298;9.81;1.141;13.84;27.078;10.156;18.034;15.033;14.979;19.183;3.551;13.528;16.123;1.696;29.646;25.16;4.361;8.764;20.112;4.325;2.24;8.206;4.594;23.301;19.659;22.998;27.572;25.058;3.323;18.267;18.466;13.258;1.456;13.38;13.668;8.22;21.224;22.626;5.925;11.694;13.977;20.016;20.296;2.867;25.827;12.796;18.729;6.074;17.793;4.462;28.004;18.15;28.168;5.972;16.229;16.255;8.307;23.233;6.039;16.316;20.785;23.163;5.657;26.153;20.444;29.931;17.917;28.145;19.046;15.772;23.104;14.847;19.721;12.883;18.771;2.588;6.662;22.451;28.773;5.905;13.981;27.753;20.807;14.937;6.484;5.002;8.333;21.818;17.428;13.002;17.465;26.922;6.864;19.152;21.412;10.0;24.734;10.771;13.163;12.517;13.427;7.254;29.635;6.127;23.415;1.547;8.511;10.094;25.725;23.455;18.534;20.973;11.739;24.328;27.918;26.533;27.387;28.194;9.746;8.05;4.75;29.638;7.341;11.724;18.324;2.815;3.9;20.438;18.81;10.468;24.048;28.904;20.667;26.251;20.31;9.491;1.268;28.985;12.747;9.124;28.496;12.493;18.012;26.858;13.163;14.416;22.977;27.572;9.784;27.826;8.883;2.155;13.371;23.454;18.238;28.413;11.306;15.091;1.043;15.139;26.29;19.733;8.521;26.797
r3;29.979;12.94;13.0;18.862;27.06;26.494;6.388;23.248;16.491;10.915;10.721;8.267;3.813;22.427;1.339;14.61;6.439;9.234;7.012;10.757;16.295;4.81;26.106;11.348;29.085;18.575;23.778;8.586;17.223;25.876;18.873;15.689;24.925;11.749;13.929;6.253;7.664;12.411;22.276;19.561;4.754;25.034;14.723;20.143;19.299;25.626;10.461;3.385;15.237;2.823;20.673;13.648;3.663;6.937;28.256;14.708;19.042;20.544;17.488;13.498;11.628;8.739;28.228;16.074;29.004;26.429;23.264;25.227;3.641;17.584;18.883;11.163;29.474;13.478;25.772;26.956;29.833;20.931;9.892;24.994;1.871;15.244;6.296;15.133;19.462;5.445;12.177;16.214;16.194;22.414;2.613;26.366;14.036;27.155;6.543;12.321;16.966;22.253;10.342;13.578;13.596;11.402;29.61;24.439;23.937;29.343;19.069;13.829;29.164;16.141;9.272;28.062;18.217;15.664;25.891;9.514;4.381;6.584;26.895;24.808;8.622;2.838;27.488;10.735;3.948;9.793;12.906;1.857;25.664;8.034;1.402;12.731;2.509;4.78;11.982;6.982;2.627;14.708;13.114;5.125;23.67;24.655;14.121;21.505;15.814;18.212;11.951;15.149;9.541;28.361;21.286;26.285;14.219;12.719;23.188;13.259;10.903;13.423;16.448;12.07;13.571;20.618;7.839;14.88;3.638;3.769;11.45;21.306;20.39;8.417;19.697;10.738;15.642;12.192;29.152;27.309;7.65;2.92;14.522;19.082;16.796;18.373;7.308;15.278;23.892;20.378;1.522;9.465;1.804;16.196;21.032;2.761;19.308;15.5;15.062;21.861;4.545;27.421;19.83;9.243;13.898;12.939;25.723;6.245;15.741;1.05;28.798;20.227;13.121;20.54;19.033;25.724;28.656;8.301;14.219;17.281;22.873;24.347;7.625;19.344;5.96;22.576;15.763;2.641;13.846;19.827;4.511;23.915;28.052;3.848;29.802;13.993;1.39;9.328;2.197;21.964;17.826;28.928;21.397;1.717;2.414;17.775;12.261;15.455;1.581;16.059;21.85;6.219;19.61;22.092;1.613;22.309;23.108;3.95;27.596;28.412;2.594;29.323;24.312;10.264;9.213;23.556;22.026;9.856;1.93;19.469;17.845;7.257;13.143;23.453;8.565;8.675;1.419;5.509;4.122;24.314;13.36;28.064;18.367;29.839;6.726;27.919;24.517;6.91;1.506;5.151;3.077;27.892;17.804;15.983;6.511;17.644;29.627;28.09;5.353;5.516;12.008;21.051;10.69;2.509
r4;28.54;25.573;20.569;4.619;28.57;9.101;19.295;19.045;22.321;29.036;4.974;21.812;15.753;11.18;8.789;4.864;1.047;20.652;22.365;3.825;19.732;4.008;3.997;23.532;10.809;17.454;24.188;26.372;1.158;28.907;15.66;17.297;8.875;28.701;10.472;26.514;24.41;28.127;10.759;16.685;6.623;2.261;19.673;3.683;2.685;9.682;27.134;20.725;29.231;18.818;28.231;22.651;10.609;5.705;5.073;28.428;17.467;7.085;7.293;10.747;3.231;8.496;17.394;14.557;23.624;16.325;23.546;21.729;17.487;10.655;2.818;29.613;21.58;21.003;21.77;14.072;19.467;16.584;11.964;19.992;2.497;27.501;17.634;3.603;29.56;8.782;9.04;9.231;11.274;9.07;3.728;2.455;28.296;27.174;2.987;12.441;27.352;1.648;22.293;27.694;14.284;10.615;10.535;27.57;8.896;17.396;22.23;20.475;25.735;29.651;1.73;3.416;28.289;14.162;17.111;5.894;2.198;23.964;24.877;9.056;18.425;10.371;5.107;29.107;11.964;15.726;7.579;18.986;28.482;20.927;26.403;9.443;6.165;13.765;16.522;7.806;24.031;20.416;10.723;22.615;19.679;14.953;4.913;16.73;11.792;11.43;25.934;15.779;22.927;27.334;6.091;3.962;4.192;23.32;24.52;3.106;15.217;6.366;10.405;22.51;25.312;3.759;12.949;21.276;24.895;24.762;12.789;11.339;15.084;21.58;26.669;16.872;19.713;6.349;3.17;13.29;15.759;6.601;29.187;16.815;3.813;7.215;20.631;24.059;2.348;4.799;15.413;15.106;15.406;16.801;1.93;4.054;24.496;6.978;24.26;4.261;2.942;10.288;25.477;26.702;21.641;12.529;3.39;1.77;1.756;7.972;6.382;3.593;18.693;19.252;22.223;16.073;25.012;29.561;18.419;22.792;17.11;5.552;6.349;1.905;18.405;24.451;22.931;25.526;8.943;10.816;29.902;15.584;15.248;22.138;29.34;4.082;13.225;13.641;10.92;28.379;6.067;15.326;7.966;22.715;18.536;1.192;10.522;14.907;22.914;16.8;9.237;10.357;12.034;11.436;24.251;28.713;17.252;13.666;22.63;28.855;20.392;17.708;12.897;23.173;7.17;8.35;18.911;28.806;11.977;14.932;6.907;12.56;23.638;24.496;25.436;2.159;28.396;16.732;5.702;15.011;7.497;9.575;20.423;18.527;1.856;28.088;13.593;11.3;9.01;4.687;14.236;23.316;9.976;29.411;9.531;6.977;20.591;19.648;6.345;10.278;25.249;14.592;14.662;22.571
r5;27.348;18.975;16.494;1.135;12.912;28.259;29.111;7.076;14.902;10.353;28.354;20.276;27.466;25.657;19.666;14.313;24.794;21.993;19.532;17.689;17.548;14.62;4.094;24.524;3.068;1.223;26.653;28.782;2.916;23.443;11.698;24.3;19.816;23.673;21.727;16.068;13.398;15.923;25.692;18.508;2.8;13.224;27.829;16.311;6.245;28.982;22.53;21.402;12.001;27.433;8.693;1.92;12.053;4.313;20.375;24.744;21.797;15.701;19.991;8.289;1.423;19.443;29.377;16.9;29.312;26.703;29.745;5.319;3.306;19.598;15.702;27.931;20.407;6.197;8.864;6.456;11.2;4.245;12.743;20.371;8.222;22.731;18.467;17.179;1.813;7.213;20.545;8.268;11.968;24.024;21.976;7.752;20.864;20.875;15.293;7.342;27.952;15.28;13.766;10.989;21.794;22.982;5.181;21.926;3.411;21.81;12.752;5.498;24.608;13.682;4.662;13.283;16.65;26.576;16.591;6.421;24.999;12.941;12.733;21.387;13.837;20.551;22.081;17.82;2.688;25.866;7.541;8.098;29.987;28.195;6.345;9.202;27.596;13.037;12.709;23.508;9.276;17.686;28.704;29.467;10.944;8.281;2.564;16.225;21.419;7.532;23.717;14.379;3.647;5.613;14.812;24.717;2.966;25.517;20.27;7.602;2.937;14.831;22.918;16.861;6.931;10.564;13.572;13.859;9.116;15.204;2.785;27.906;20.405;11.424;13.345;27.04;4.262;16.667;26.013;22.609;16.175;11.196;15.691;21.926;28.304;22.024;23.901;8.579;6.377;3.27;17.361;17.861;13.444;12.862;16.745;25.425;4.255;28.879;8.108;14.854;14.274;27.493;28.906;17.884;11.79;2.226;7.671;1.258;17.512;8.81;8.896;29.544;28.635;13.279;2.206;14.361;29.344;6.557;27.921;22.416;20.671;13.361;16.523;11.832;26.329;29.769;24.277;18.648;2.129;29.135;14.679;23.179;15.712;17.068;7.291;11.843;16.707;18.678;27.199;23.731;5.399;17.767;10.922;9.056;13.377;2.662;23.499;17.016;2.234;8.305;2.619;28.828;1.788;21.256;1.717;12.115;4.76;28.661;25.806;8.201;12.154;22.875;18.472;21.234;26.481;13.002;8.434;21.477;1.833;15.118;5.672;19.832;3.416;23.524;12.411;2.174;20.975;12.257;28.757;10.133;9.266;29.765;2.924;17.695;24.911;19.6;15.907;12.708;11.139;1.888;11.998;2.492;11.244;10.798;2.906;16.571;28.182;13.259;29.948;21.713;24.713;4.466;29.386;23.887
r6;25.917;22.747;1.364;6.111;1.004;3.183;1.163;18.142;21.483;9.623;1.892;21.663;21.157;29.871;29.555;11.124;14.193;22.023;27.693;15.488;4.75;3.164;23.043;22.532;19.984;1.856;26.322;14.254;5.554;20.218;14.833;12.843;21.999;3.199;14.215;16.01;27.182;10.231;9.48;20.046;7.646;7.33;25.523;8.695;11.752;14.148;14.154;26.726;17.71;16.055;4.359;13.263;19.769;10.619;8.527;23.286;23.737;21.991;9.12;6.602;19.091;18.48;26.225;28.363;27.818;29.731;13.59;13.946;21.354;24.625;25.167;23.492;11.128;8.719;18.77;24.243;10.868;28.059;3.537;2.718;8.623;17.101;10.452;9.01;28.017;7.486;27.787;23.104;17.914;28.435;17.272;15.576;20.605;22.09;6.954;8.75;13.271;12.522;1.596;5.766;15.421;17.264;4.596;2.964;2.627;21.286;18.938;8.17;14.274;26.397;26.887;9.236;28.742;22.729;5.732;1.578;8.986;4.03;29.104;16.259;23.831;4.887;1.596;27.864;1.204;20.573;29.902;28.505;16.322;29.356;18.99;4.324;20.663;22.886;10.659;6.139;2.367;13.279;23.724;29.398;13.233;7.545;9.526;19.266;19.694;28.1;20.988;10.671;25.581;17.974;29.307;8.499;13.21;8.657;13.761;11.614;19.873;22.165;17.72;9.808;25.819;29.785;25.164;21.095;24.456;3.634;17.534;24.844;18.101;29.973;9.203;18.493;12.89;6.566;28.755;26.056;5.462;16.173;20.336;20.341;12.464;22.065;20.191;9.894;10.553;6.661;26.788;21.084;15.715;26.837;19.896;8.705;6.556;11.467;1.939;23.294;9.394;16.441;6.274;9.039;4.954;6.452;22.059;21.256;5.079;6.694;23.005;6.173;9.72;21.592;7.413;9.124;7.114;20.69;9.853;23.569;24.752;8.388;18.924;15.561;13.076;14.054;9.518;9.536;15.316;1.627;12.927;17.568;21.173;4.335;26.372;5.337;10.076;17.135;6.674;14.598;13.136;13.235;1.358;2.196;6.749;13.071;24.077;14.564;6.362;9.57;8.7;8.486;27.124;24.819;20.484;15.323;8.646;25.159;22.095;3.672;26.288;6.125;26.846;14.054;26.279;27.21;23.801;18.527;2.037;27.532;20.849;20.673;22.196;10.746;10.773;3.537;5.274;26.595;19.626;22.446;16.276;6.151;14.701;21.645;19.216;22.051;24.827;16.29;5.675;9.946;17.697;20.487;23.78;11.815;18.044;24.681;15.132;4.862;7.382;18.086;7.818;13.284;14.037;7.712
r7;18.36;8.541;3.686;14.612;14.021;3.947;16.719;29.884;20.171;26.104;14.577;24.546;11.875;14.677;19.185;9.213;2.731;14.087;20.983;18.99;12.599;9.056;14.923;26.467;8.913;22.849;26.772;7.05;15.221;15.052;13.736;18.96;15.524;27.168;10.62;22.615;20.669;24.883;22.738;25.864;9.699;9.566;9.216;21.716;15.106;26.563;8.97;28.214;27.138;1.911;8.931;4.9;5.218;3.776;1.482;2.081;16.512;19.654;16.209;19.83;10.443;21.705;9.432;19.696;9.834;21.84;13.917;29.152;17.53;16.726;29.314;16.319;10.021;4.36;23.242;25.184;20.816;14.116;10.158;12.772;29.339;1.937;1.963;10.523;12.634;13.602;26.47;15.95;3.22;16.737;14.038;16.764;8.362;19.421;25.888;25.457;14.899;29.548;22.464;28.613;16.783;22.916;27.087;7.691;17.441;15.65;4.095;12.466;6.478;17.642;16.22;20.325;4.188;25.056;29.198;22.803;15.323;13.797;6.257;15.668;2.626;18.969;28.36;22.255;1.863;18.5;19.486;18.966;29.242;14.874;14.785;14.674;15.765;12.715;10.516;27.246;3.376;5.241;11.673;14.433;17.357;18.241;20.997;5.68;7.194;29.82;7.189;18.487;29.975;9.984;24.771;20.803;15.08;2.084;15.452;7.583;3.586;3.121;15.145;15.025;2.982;21.619;10.205;13.754;3.25;12.947;28.197;13.049;24.706;8.422;27.573;3.537;4.338;16.382;4.635;14.666;28.557;7.66;8.213;14.167;8.301;27.874;20.689;9.728;27.433;17.449;12.429;24.467;19.323;21.163;20.872;23.546;24.089;7.102;4.957;4.011;28.405;10.89;11.199;21.655;23.373;13.245;24.243;3.016;5.19;16.472;20.839;17.045;20.668;5.8;12.082;13.44;1.631;29.628;27.311;20.955;11.085;7.636;21.261;20.088;14.675;28.237;15.75;7.177;9.521;19.595;26.772;16.617;11.07;2.346;5.852;8.062;9.165;19.657;24.326;25.809;18.338;19.597;27.837;26.107;1.634;19.131;10.934;4.371;4.475;17.431;24.827;9.221;18.722;5.797;17.233;7.645;15.699;1.704;20.847;9.868;26.325;19.133;14.752;11.964;17.15;12.219;29.989;10.69;9.503;18.184;10.135;3.628;27.869;11.323;27.799;4.472;7.325;16.605;2.5;16.336;10.124;3.954;6.689;17.375;13.011;29.909;8.368;28.594;3.86;12.964;3.015;22.063;2.473;23.803;6.128;17.14;10.793;14.993;27.039;18.828;17.285;9.19;5.515;21.077
r8;27.146;1.661;25.407;18.608;10.114;7.854;15.461;8.672;22.613;19.39;23.454;10.987;14.748;16.506;29.408;2.482;13.901;3.705;29.373;14.652;9.654;11.612;20.073;6.14;9.618;17.94;29.746;17.33;22.173;12.487;16.387;27.864;7.343;21.736;1.231;16.095;17.778;24.874;4.34;1.687;25.135;4.296;20.537;25.957;7.255;23.536;11.759;16.509;10.247;16.154;13.002;13.86;16.695;10.935;19.52;2.69;22.575;16.014;12.12;1.582;20.412;1.03;13.094;4.507;26.722;29.315;17.68;24.388;15.162;21.318;3.085;21.762;27.595;17.641;26.756;17.358;25.783;21.328;13.985;23.411;19.477;12.249;12.37;15.611;12.114;25.721;11.789;21.652;23.701;24.158;21.778;12.823;25.301;5.92;23.853;26.115;24.837;24.764;26.759;28.043;24.627;1.635;21.13;14.44;23.536;17.383;22.229;5.599;4.219;12.821;27.71;21.649;14.648;22.602;5.004;21.357;19.98;18.869;5.881;22.637;12.805;13.501;25.449;21.74;5.477;10.398;6.19;25.025;1.674;15.622;3.561;17.291;29.524;12.006;8.896;6.112;17.375;19.007;12.587;18.577;10.262;27.76;17.596;7.087;11.611;5.191;2.549;26.089;11.234;13.503;6.956;15.832;20.36;28.558;25.385;20.3;10.326;15.576;2.42;11.092;14.481;28.92;2.707;29.388;14.462;11.523;9.264;5.993;2.19;24.005;25.292;20.527;7.133;5.865;13.388;27.136;26.906;13.718;3.392;6.791;17.196;13.076;3.735;11.969;25.427;18.351;5.721;23.2;12.516;2.547;15.916;5.617;24.474;10.955;25.56;28.891;9.645;21.43;25.696;11.703;15.669;19.671;14.597;21.842;8.943;2.596;16.599;8.501;6.686;5.43;12.561;2.517;5.92;24.576;6.56;5.937;2.691;14.108;10.63;29.765;18.419;13.845;12.896;13.544;10.321;20.408;8.794;4.836;28.516;11.839;20.597;13.307;12.892;29.954;22.553;25.95;16.429;9.629;29.535;27.416;28.581;22.368;28.187;19.732;1.592;16.873;9.696;26.118;28.85;27.44;13.596;7.944;24.612;10.656;10.88;16.092;23.179;10.407;15.196;29.828;19.43;25.076;9.889;1.006;19.017;9.295;9.797;28.61;6.612;10.961;23.756;15.954;23.284;22.356;4.699;19.295;2.806;9.413;19.02;9.568;23.668;28.686;17.531;29.191;6.27;27.075;27.084;24.789;13.882;28.125;19.116;21.27;23.265;9.895;19.638;10.52;1.36;11.734;6.884;27.525
r9;19.294;8.948;4.162;8.834;26.37;18.18;28.711;10.617;18.359;20.23;26.376;5.787;14.254;25.722;8.535;6.069;29.686;18.749;8.919;2.84;19.311;14.546;24.815;15.969;10.12;25.749;2.748;10.407;17.736;17.848;22.943;15.399;3.698;27.07;23.74;18.403;12.826;9.536;14.976;23.618;16.386;9.989;2.432;8.546;5.911;3.559;28.529;28.145;29.757;15.084;24.81;24.913;4.754;9.236;21.386;5.72;3.536;6.159;6.685;3.97;17.267;3.313;22.598;24.562;24.487;21.591;29.81;12.582;21.582;27.803;25.646;21.832;26.543;15.697;15.811;28.313;9.778;12.126;10.389;11.914;10.09;15.301;13.65;6.96;3.047;21.759;15.435;14.974;11.95;2.589;10.284;22.162;16.289;20.701;1.357;1.376;29.502;11.523;17.877;22.129;27.339;4.083;4.799;3.965;24.008;14.639;2.278;1.108;21.716;20.568;10.359;20.862;3.556;22.604;14.492;2.886;12.789;19.741;11.568;12.707;8.867;23.778;15.424;18.469;8.153;3.942;4.934;1.747;17.256;27.12;19.824;12.725;21.052;4.967;14.127;22.849;12.694;1.182;6.027;8.977;16.356;3.101;13.876;29.049;25.942;19.858;2.242;4.059;18.485;17.772;8.76;3.447;25.279;28.394;21.367;12.286;3.257;25.462;29.727;27.69;12.38;4.708;4.094;12.219;19.901;11.686;28.707;15.645;20.399;24.731;22.97;26.41;4.607;4.5;29.993;24.719;9.899;3.405;9.251;25.259;8.63;22.868;18.04;23.991;3.893;28.475;14.962;4.696;7.323;16.302;21.245;16.747;9.107;2.484;22.82;3.608;11.322;4.632;19.238;26.82;17.828;10.453;10.61;20.763;21.995;23.326;29.353;20.989;6.826;4.833;26.564;15.703;13.097;8.923;8.467;19.94;7.501;5.136;17.743;14.236;1.906;24.808;17.694;9.279;4.631;19.152;20.628;27.898;15.816;8.989;26.372;15.876;25.716;20.781;6.128;28.236;24.567;26.483;2.754;19.077;2.389;4.765;7.153;21.23;2.058;1.163;12.729;17.211;4.101;2.737;22.151;2.409;12.617;3.508;11.281;10.898;8.453;25.811;29.504;6.057;25.04;21.603;11.653;28.725;5.102;23.977;24.263;11.381;17.94;18.418;15.208;4.729;14.144;6.279;3.062;19.198;9.377;28.892;4.144;13.432;1.194;15.761;2.452;14.774;14.028;21.9;11.166;8.877;19.513;11.955;10.353;10.694;18.751;12.393;21.89;1.669;13.501;3.086;12.391;16.332
