Ecode;TotalECodes;e0;e1;e2;e3;e4
E000.0;26295;102;3062;14521;8447;163
E000.1;195;3;13;78;101;
E000.2;168;;11;90;63;4
E000.8;320089;538;31036;149204;137215;2096
E000.9;103711;235;8506;51839;42654;477
E001.0;32433;257;5895;24866;1371;44
E001.1;13184;194;2527;9806;639;18
E002.0;1481;24;280;1089;83;5
E002.1;93;2;22;65;4;
E002.2;159;4;19;134;2;
E002.3;13;2;4;7;;
E002.4;41;1;7;33;;
E002.5;158;3;24;121;10;
E002.6;174;6;35;121;11;1
E002.7;1065;50;188;816;10;1
E002.8;98;;15;77;6;
E002.9;451;5;81;312;51;2
E003.0;767;40;154;548;24;1
E003.1;527;34;88;384;20;1
E003.2;4682;96;1233;3219;134;
E003.3;22;1;4;16;1;
E003.9;137;2;36;94;5;
E004.0;394;8;52;323;11;
E004.1;9;1;1;7;;
E004.2;48;1;17;30;;
E004.3;10;1;3;5;1;
E004.4;15;1;2;11;1;
E004.9;3093;50;549;2361;127;6
E005.0;1939;37;454;1392;53;3
E005.1;80;4;17;55;4;
E005.2;828;27;151;622;28;
E005.3;1928;34;384;1445;64;1
E005.4;695;28;143;509;15;
E005.9;494;20;95;365;14;
E006.0;7260;163;1527;5268;290;12
E006.1;1335;19;213;1038;63;2
E006.2;592;10;105;458;19;
E006.3;297;5;60;216;16;
E006.4;13443;121;2872;9866;569;15
E006.5;144;8;41;92;3;
E006.6;112;3;29;75;5;
E006.9;1985;51;326;1555;52;1
E007.0;5951;140;1266;4289;254;2
E007.1;533;30;115;352;36;
E007.2;828;21;123;651;32;1
E007.3;9824;277;1853;7300;387;7
E007.4;862;16;143;677;25;1
E007.5;12807;317;2644;9387;456;3
E007.6;17883;561;3992;12694;625;11
E007.7;1488;39;344;1050;54;1
E007.8;1212;26;248;835;100;3
E007.9;1174;37;220;890;25;2
E008.0;599;22;121;424;32;
E008.1;2701;90;568;1934;108;1
E008.2;893;23;176;669;25;
E008.3;186;5;32;145;4;
E008.4;1407;48;274;1028;55;2
E008.9;868;9;183;636;39;1
E009.0;458;16;81;338;23;
E009.1;89;3;13;70;3;
E009.2;110;2;24;83;1;
E009.3;5;;;4;1;
E009.4;25;;4;21;;
E009.5;12;;;12;;
E009.9;323;10;65;237;11;
E010.0;264;8;46;197;11;2
E010.1;358;16;73;253;15;1
E010.2;1556;45;339;1097;68;7
E010.3;14;1;1;12;;
E010.9;1040;27;215;740;56;2
E011.0;42;;4;29;9;
E011.1;55;2;14;35;4;
E011.9;40;1;7;30;2;
E012.0;7;;3;4;;
E012.1;58;1;16;39;2;
E012.2;38;1;13;23;1;
E012.9;186;2;29;153;2;
E013.0;4902;38;916;3688;254;6
E013.1;347;2;52;283;10;
E013.2;90;1;12;71;6;
E013.3;32;1;7;23;1;
E013.4;681;5;125;499;49;3
E013.5;925;16;175;687;45;2
E013.8;2294;18;324;1885;64;3
E013.9;2285;21;366;1732;160;6
E014.0;48;;5;41;2;
E014.1;669;12;105;523;27;2
E014.9;1547;13;239;1230;64;1
E015.0;6299;33;1175;4796;289;6
E015.1;172;4;32;126;10;
E015.2;2042;21;427;1509;82;3
E015.9;1276;8;178;1031;59;
E016.0;157;5;32;111;9;
E016.1;4172;40;718;3185;226;3
E016.2;1135;7;201;870;56;1
E016.9;2234;19;391;1723;98;3
E017.0;69;2;19;41;7;
E017.9;2048;9;645;1273;116;5
E018.0;3;;1;2;;
E018.1;8;;1;7;;
E018.2;17;;3;13;1;
E018.3;5;1;1;3;;
E019.0;1716;23;299;1326;66;2
E019.1;7;;4;3;;
E019.2;74;;14;57;3;
E019.9;1579;6;199;1272;101;1
E029.0;49;;22;23;4;
E029.1;316;;42;256;18;
E029.2;5415;120;971;4012;305;7
E029.9;85301;515;14796;51151;18564;275
E030;71694;145;14099;51073;6250;127
E800.0;1;1;;;;
E800.8;4;1;;1;2;
E801.1;7;7;;;;
E801.2;1;1;;;;
E801.3;1;;;1;;
E802.8;1;1;;;;
E804.0;3;3;;;;
E804.1;58;57;1;;;
E804.2;2;2;;;;
E804.3;1;1;;;;
E804.8;2;2;;;;
E804.9;6;6;;;;
E805.1;2;2;;;;
E805.2;2;2;;;;
E805.3;3;3;;;;
E805.8;2;2;;;;
E805.9;2;2;;;;
E806.0;4;4;;;;
E806.1;14;12;1;1;;
E806.2;3;3;;;;
E806.8;1;;1;;;
E806.9;2;2;;;;
E807.0;1;;1;;;
E807.1;4;4;;;;
E807.2;2;2;;;;
E810.0;39;39;;;;
E810.1;30;30;;;;
E810.4;3;3;;;;
E810.6;1;1;;;;
E810.8;9;9;;;;
E810.9;2;2;;;;
E811.0;107;105;2;;;
E811.1;50;49;;1;;
E811.2;5;5;;;;
E811.6;1;1;;;;
E811.7;2;2;;;;
E811.9;1;1;;;;
E812.0;48027;47784;179;51;10;3
E812.1;24253;24176;66;9;1;1
E812.2;2011;2002;9;;;
E812.3;186;185;1;;;
E812.4;5;5;;;;
E812.5;4;3;1;;;
E812.6;581;576;3;;;2
E812.7;434;427;6;1;;
E812.8;190;190;;;;
E812.9;3530;3514;11;4;1;
E813.0;1510;1494;10;6;;
E813.1;683;682;1;;;
E813.2;252;251;;1;;
E813.3;11;11;;;;
E813.4;7;7;;;;
E813.5;2;2;;;;
E813.6;3381;3344;31;2;4;
E813.7;64;64;;;;
E813.8;98;97;1;;;
E813.9;84;83;;1;;
E814.0;45;44;1;;;
E814.1;40;40;;;;
E814.2;13;12;1;;;
E814.3;3;3;;;;
E814.4;1;1;;;;
E814.5;6;6;;;;
E814.6;367;361;5;1;;
E814.7;6049;5998;37;11;2;1
E814.8;93;90;2;1;;
E814.9;50;49;;;;1
E815.0;2508;2471;30;4;2;1
E815.1;752;745;6;;1;
E815.2;222;221;1;;;
E815.3;9;9;;;;
E815.4;1;1;;;;
E815.6;24;24;;;;
E815.7;29;29;;;;
E815.8;15;15;;;;
E815.9;72;71;;;1;
E816.0;5039;4992;31;14;1;1
E816.1;1930;1914;12;2;1;1
E816.2;2412;2404;6;1;;1
E816.3;79;79;;;;
E816.4;1;1;;;;
E816.5;1;1;;;;
E816.6;47;45;1;;1;
E816.7;28;26;2;;;
E816.8;24;24;;;;
E816.9;156;154;2;;;
E817.0;205;192;11;2;;
E817.1;982;948;30;2;1;1
E817.2;52;51;1;;;
E817.3;13;12;1;;;
E817.4;27;27;;;;
E817.5;1;1;;;;
E817.6;6;6;;;;
E817.7;19;19;;;;
E817.8;90;87;2;1;;
E817.9;579;543;31;2;2;1
E818.0;644;626;15;1;2;
E818.1;1026;1000;24;2;;
E818.2;1251;1236;13;;2;
E818.3;55;52;3;;;
E818.4;20;20;;;;
E818.6;82;79;3;;;
E818.7;340;337;3;;;
E818.8;288;283;4;1;;
E818.9;689;667;20;1;1;
E819.0;2665;2640;19;4;1;1
E819.1;1721;1714;5;2;;
