ProcedureCode;TotalProc;pr0;pr1;pr2;pr3;pr4;pr5;pr6;pr7;pr8;pr9;pr10;pr11;pr12;pr13;pr14;pr15;pr16;pr17;pr18;pr19;pr20
*;2267506;2267506;;;;;;;;;;;;;;;;;;;;
-;209;209;;;;;;;;;;;;;;;;;;;;
00103;1;;;1;;;;;;;;;;;;;;;;;;
00160;1;;1;;;;;;;;;;;;;;;;;;;
00170;1;;1;;;;;;;;;;;;;;;;;;;
00300;8;;5;1;;;;;;;;;1;;;;;;;1;;
00400;6;;3;1;;;;;;1;1;;;;;;;;;;;
0042T;101;62;11;14;3;6;2;2;;1;;;;;;;;;;;;
00520;4;;3;1;;;;;;;;;;;;;;;;;;
00532;4;;2;1;1;;;;;;;;;;;;;;;;;
0054T;1;;1;;;;;;;;;;;;;;;;;;;
00635;2;;2;;;;;;;;;;;;;;;;;;;
00810;1;;;;;;;;;;;;;;;;1;;;;;
00840;9;;3;1;;2;1;1;1;;;;;;;;;;;;;
00910;4;;1;;1;1;;;;1;;;;;;;;;;;;
00920;2;;;;;;;;1;1;;;;;;;;;;;;
00926;1;;1;;;;;;;;;;;;;;;;;;;
00940;5;;2;;1;2;;;;;;;;;;;;;;;;
00948;1;;1;;;;;;;;;;;;;;;;;;;
0108T;1;1;;;;;;;;;;;;;;;;;;;;
01200;3;;1;1;;;;;;1;;;;;;;;;;;;
01380;1;;1;;;;;;;;;;;;;;;;;;;
01462;3;;1;2;;;;;;;;;;;;;;;;;;
01470;1;;1;;;;;;;;;;;;;;;;;;;
01480;2;;1;1;;;;;;;;;;;;;;;;;;
01620;5;;2;2;1;;;;;;;;;;;;;;;;;
01710;1;;1;;;;;;;;;;;;;;;;;;;
01730;9;;5;3;1;;;;;;;;;;;;;;;;;
0173T;1;;1;;;;;;;;;;;;;;;;;;;
01740;1;;;1;;;;;;;;;;;;;;;;;;
01810;5;1;1;;;1;1;;;1;;;;;;;;;;;;
01820;37;;13;17;1;2;;;;;;2;;1;1;;;;;;;
01922;4;;2;1;1;;;;;;;;;;;;;;;;;
01991;3;1;2;;;;;;;;;;;;;;;;;;;
01992;2;1;1;;;;;;;;;;;;;;;;;;;
01999;1;;;1;;;;;;;;;;;;;;;;;;
