COVID-19 Deaths;Total Deaths;Pneumonia Deaths;Pneumonia and COVID-19 Deaths;Influenza Deaths;Pneumonia Influenza or COVID-19 Deaths
1087198;10002042;1019992;547449;16613;1574303
404;58138;782;66;46;1164
1414;103524;2192;355;330;3567
217;11164;474;49;101;739
435;17423;625;125;148;1076
2894;107305;2723;1231;154;4529
6749;188242;6143;3095;245;10018
11949;226468;10325;5725;342;16860
19255;281293;16317;9575;487;26446
29248;335798;24439;14984;600;39243
45092;415943;37219;23730;772;59252
69690;583170;59017;37592;1154;92101
197247;1670481;181959;108170;3390;273933
154920;1320017;145445;85153;2679;217504
246021;2042016;240933;135093;3553;354915
282430;2446675;275497;145195;3923;416196
288990;2853868;259732;122236;3913;429976
598886;5261616;568776;314109;8179;860553
225;32111;446;39;26;657
757;60455;1207;197;172;1932
113;6310;236;27;55;376
222;10211;345;70;72;564
1720;78583;1639;717;75;2709
4137;137165;3723;1855;129;6118
7328;159687;6285;3514;170;10249
11882;191124;9959;5950;242;16109
18105;220214;14770;9267;320;23887
28259;265053;22526;14820;425;36321
44429;366118;36116;23894;653;57194
122312;1028264;109179;66495;1860;166540
95205;808827;86757;51789;1457;131384
145916;1181515;142211;80557;1884;209149
158283;1273327;156453;84195;1917;232209
127340;1124713;123518;60040;1550;192175
488312;4740426;451216;233340;8434;713750
179;26027;336;27;20;507
657;43069;985;158;158;1635
104;4854;238;22;46;363
213;7212;280;55;76;512
1174;28722;1084;514;79;1820
2612;51077;2420;1240;116;3900
4621;66781;4040;2211;172;6611
7373;90169;6358;3625;245;10337
11143;115584;9669;5717;280;15356
16833;150890;14693;8910;347;22931
25261;217052;22901;13698;501;34907
74935;642217;72780;41675;1530;107393
59715;511190;58688;33364;1222;86120
100105;860501;98722;54536;1669;145766
124147;1173348;119044;61000;2006;183987
161650;1729155;136214;62196;2363;237801
20543;188752;15361;7101;289;29059
;1174;15;;;20
17;2121;35;;;55
;281;10;0;;15
;350;;;;13
46;2160;42;16;;76
138;3683;101;53;;191
257;4353;193;99;;357
405;5487;289;144;10;558
657;6935;421;228;11;859
1033;9091;662;353;12;1353
1596;12667;994;548;21;2061
4440;35700;3077;1566;82;6023
3465;28162;2480;1225;67;4779
5256;42427;4011;1874;67;7456
5322;47414;4220;1907;65;7691
3932;42829;2966;1201;42;5732
11048;98621;8345;3864;163;15672
;672;;;;13
10;1305;17;;;29
;162;;0;0;
0;229;;0;;
25;1580;24;10;;42
82;2666;58;30;;114
150;3006;113;58;;209
234;3603;168;84;;323
369;4400;235;126;;483
569;5560;384;201;;758
896;7608;575;316;13;1166
2512;21396;1689;860;49;3382
1960;16873;1353;665;40;2682
3027;24278;2346;1082;35;4324
2922;23936;2331;1060;36;4224
1692;15877;1352;546;23;2518
9495;90131;7016;3237;126;13387
;502;;;0;
;816;18;;;26
;119;;0;;
;121;;;;
21;580;18;;;34
56;1017;43;23;;77
107;1347;80;41;;148
171;1884;121;60;;235
288;2535;186;102;;376
464;3531;278;152;;595
700;5059;419;232;;895
1928;14304;1388;706;33;2641
1505;11289;1127;560;27;2097
2229;18149;1665;792;32;3132
2400;23478;1889;847;29;3467
2240;26952;1614;655;19;3214
1411;16075;1296;783;31;1953
;154;;0;0;12
10;302;;;;18
0;27;;0;;
;61;;;0;
;374;;;0;
20;615;19;10;;30
34;743;34;18;;51
46;920;53;22;;79
68;927;70;35;;108
90;976;83;54;;122
124;1284;103;68;;161
312;3379;285;168;;434
237;2622;227;131;;336
378;3630;337;232;;489
328;3416;315;194;;454
227;2837;197;102;;327
831;9299;764;466;17;1145
;92;;0;0;
;187;;;;
0;16;;0;;
;44;;;0;
;264;;;0;
12;422;;;;17
20;466;18;10;;29
26;579;35;14;;49
40;596;45;20;;69
50;597;45;26;;71
81;803;61;41;;102
219;2199;193;122;;294
163;1703;154;95;;225
229;2173;200;137;;293
191;1929;187;113;;267
99;1213;91;48;;145
580;6776;532;317;14;808
;62;;0;0;
;115;;0;;
0;11;;0;;
0;17;0;0;0;0
;110;;;0;
;193;10;;0;13
14;277;16;;0;22
20;341;18;;0;30
28;331;25;15;;39
40;379;38;28;;51
43;481;42;27;;59
93;1180;92;46;;140
74;919;73;36;0;111
149;1457;137;95;;196
137;1487;128;81;;187
128;1624;106;54;;182
29122;232069;27313;16909;276;39781
;1283;19;;;25
41;2534;67;15;10;103
;308;11;0;;22
17;416;22;10;;31
120;3265;111;60;;174
276;5591;222;142;;359
475;6538;377;245;;614
731;7873;611;403;;948
988;8770;806;556;15;1251
1463;10365;1224;869;22;1837
2190;13906;1862;1325;29;2751
5768;37544;5279;3521;62;7582
4478;29421;4195;2752;42;5961
7073;48193;6766;4385;64;9515
7855;59953;7538;4551;55;10892
5915;60016;5606;3023;51;8545
17146;128001;15950;10138;132;23081
;710;;0;;12
24;1484;32;;;57
;172;;0;;13
;225;10;;;14
73;2439;65;31;;109
169;4176;139;85;;225
291;4733;223;140;;378
451;5507;366;241;;582
616;5984;503;349;;776
922;6837;755;542;;1140
1421;8872;1175;859;12;1747
3619;23305;3203;2187;33;4667
2770;18174;2506;1677;23;3622
4238;28265;4025;2644;33;5650
4710;32595;4480;2794;21;6416
3013;25832;2950;1640;23;4344
11976;104068;11363;6771;144;16700
;573;12;;0;13
17;1050;35;10;;46
;136;;0;;
10;191;12;;;17
47;826;46;29;;65
107;1415;83;57;;134
184;1805;154;105;;236
280;2366;245;162;;366
372;2786;303;207;;475
541;3528;469;327;14;697
769;5034;687;466;17;1004
2149;14239;2076;1334;29;2915
1708;11247;1689;1075;19;2339
2835;19928;2741;1741;31;3865
3145;27358;3058;1757;34;4476
2902;34184;2656;1383;28;4201
12077;114158;11724;5851;235;18168
;785;18;0;0;22
17;1373;32;;;48
;151;;;;
;229;;;;14
28;1257;32;12;;50
87;2049;76;42;;125
159;2349;132;76;;219
231;3073;186;99;;323
356;3991;304;153;11;517
543;5217;483;271;14;768
773;7231;698;398;17;1089
2238;20828;2161;1203;62;3254
1785;16547;1742;976;51;2599
2870;25415;2901;1522;53;4297
3295;29112;3283;1582;48;5041
2796;27091;2602;1128;46;4312
6466;60125;6430;3285;110;9716
;431;;0;0;
;812;14;;;21
;91;;0;;
;132;;;;
12;920;19;;;27
50;1461;43;19;;76
92;1591;69;36;;128
131;1976;100;55;;179
200;2450;158;80;;283
303;3090;254;146;;419
475;4314;386;238;;630
1336;12517;1240;698;29;1906
1042;9927;1005;559;25;1513
1626;14683;1662;876;28;2439
1825;15051;1857;928;27;2779
1188;10535;1260;561;11;1897
5611;54033;5294;2566;125;8452
;354;10;0;0;13
10;561;18;;;27
;60;;;;
;97;;;0;
16;337;13;;;23
37;588;33;23;;49
67;758;63;40;;91
100;1097;86;44;;144
156;1541;146;73;;234
240;2127;229;125;;349
298;2917;312;160;;459
902;8311;921;505;33;1348
743;6620;737;417;26;1086
1244;10732;1239;646;25;1858
1470;14061;1426;654;21;2262
1608;16556;1342;567;35;2415
103217;953951;109117;59722;1358;153917
27;4983;66;10;;86
123;9069;198;29;31;322
22;940;46;;;75
32;1575;61;;14;99
326;10944;301;153;12;486
790;19878;737;379;28;1175
1457;23932;1266;713;48;2057
2292;28665;1980;1176;57;3150
3406;33299;2968;1849;67;4588
5271;41163;4577;3009;82;6918
7962;57589;7007;4641;112;10436
21333;157055;20469;13044;277;29025
16577;122568;16246;10262;210;22763
22901;181736;24592;14155;254;33576
24419;220706;27666;14565;306;37813
26088;295679;28898;13365;323;41938
60452;514562;63003;35766;674;88333
19;2761;43;;;57
69;5240;105;18;19;174
;524;25;;;39
18;885;24;;;45
217;8156;199;107;;312
532;15015;483;251;;773
978;17769;831;472;21;1358
1579;20654;1340;812;29;2134
2325;23074;1960;1250;36;3068
3596;27423;2984;2031;43;4590
5541;37727;4672;3223;59;7047
14355;100758;13207;8706;161;19010
11024;78194;10365;6753;125;14755
14364;107848;15096;8875;143;20716
13930;116489;15797;8485;138;21375
12027;121135;13991;6588;132;19561
42765;439389;46114;23956;684;65584
;2222;23;;;29
